函数名	未限定名	定义位置	功能	未限定名出现次数	定义文件出现次数	风险标记
D455_I64绝对差	D455_I64绝对差	外设线程_D455深度相机.ixx:292	按函数名执行对应处理。	35	35
D455_万分比	D455_万分比	外设线程_D455深度相机.ixx:360	按函数名执行对应处理。	6	6
D455_下一跨帧观察簇ID	D455_下一跨帧观察簇ID	外设线程_D455深度相机.ixx:277	按函数名执行对应处理。	3	3
D455_从调用结果生成样本	D455_从调用结果生成样本	外设线程_D455深度相机.ixx:1392	根据当前输入生成目标数据、场景、动态或回执。	3	3
D455_从调用结果生成逐簇识别报告	D455_从调用结果生成逐簇识别报告	外设线程_D455深度相机.ixx:1441	根据当前输入生成目标数据、场景、动态或回执。	3	3
D455_从迁移分割组件生成空间候选	D455_从迁移分割组件生成空间候选	外设线程_D455深度相机.ixx:503	根据当前输入生成目标数据、场景、动态或回执。	2	2
D455_从逐簇识别报告生成扫描变化报告	D455_从逐簇识别报告生成扫描变化报告	外设线程_D455深度相机.ixx:2222	根据当前输入生成目标数据、场景、动态或回执。	5	5
D455_从逐簇识别报告生成扫描变化报告_带上下文	D455_从逐簇识别报告生成扫描变化报告_带上下文	外设线程_D455深度相机.ixx:2143	根据当前输入生成目标数据、场景、动态或回执。	3	3
D455_从逐簇识别报告生成稳定观察子集报告	D455_从逐簇识别报告生成稳定观察子集报告	外设线程_D455深度相机.ixx:1632	根据当前输入生成目标数据、场景、动态或回执。	3	3
D455_从逐簇识别报告生成跟踪报告	D455_从逐簇识别报告生成跟踪报告	外设线程_D455深度相机.ixx:2323	根据当前输入生成目标数据、场景、动态或回执。	2	2
D455_候选投影有效	D455_候选投影有效	外设观察报告队列.ixx:1433	按函数名执行对应处理。	2	2
D455_写入报告Tracker轨迹状态	D455_写入报告Tracker轨迹状态	外设线程_D455深度相机.ixx:1156	把处理结果写入指定对象、场景或日志。	9	9
D455_写入报告目标观察约束字段	D455_写入报告目标观察约束字段	外设线程_D455深度相机.ixx:1950	把处理结果写入指定对象、场景或日志。	3	3
D455_写入状态结果	D455_写入状态结果	外设线程_D455深度相机.ixx:2543	把处理结果写入指定对象、场景或日志。	3	3
D455_写入目标特征观察值	D455_写入目标特征观察值	外设线程_D455深度相机.ixx:1973	把处理结果写入指定对象、场景或日志。	4	4
D455_写入簇Tracker轨迹状态	D455_写入簇Tracker轨迹状态	外设线程_D455深度相机.ixx:1138	把处理结果写入指定对象、场景或日志。	2	2
D455_写入跨帧簇缓存项	D455_写入跨帧簇缓存项	外设线程_D455深度相机.ixx:1088	把处理结果写入指定对象、场景或日志。	3	3
D455_写回迁移分割空间候选	D455_写回迁移分割空间候选	外设线程_D455深度相机.ixx:760	按函数名执行对应处理。	3	3
D455_区间重叠	D455_区间重叠	外设线程_D455深度相机.ixx:1866	按函数名执行对应处理。	6	6
D455_发布扫描变化报告	D455_发布扫描变化报告	外设线程_D455深度相机.ixx:2863	执行扫描相关材料获取、比较或提交逻辑。	2	2
D455_发布本帧逐簇与稳定子集报告	D455_发布本帧逐簇与稳定子集报告	外设线程_D455深度相机.ixx:2785	按函数名执行对应处理。	2	2
